Duration ,DescrTask,Cond,Agreement,PWEW,WRITER,DEW,FirstClick,LastClick,CompTime,Description,FK Ease,FK Grade,Coleman Liau,#Sentences,#Words,#Complex Words,%Complex Words,Q75_First Click,Q75_Last Click,Q75_Page Submit,Q75_Click Count,Q34,Q74_First Click,Q74_Last Click,Q74_Page Submit,Q74_Click Count,Q73,Q13,Q14,Q15,Q16,Q51,Q52,Q17_5,Q17_6,Q17_7,Q18_1,Q18_2,Q18_3,Q19,Q28,Q20,Q20_8_TEXT,Q21,Q21_8_TEXT,Q76,mturkcode
644,self,PWEW,FALSE,No,,,2.091,249.553,389.916,"I am a young male who is about to enter the professional world. I am a highly motivated individual who enjoys work that can be judged by its accuracy and efficiency. I am liberal socially but I do enjoy working with firearms as a hobby and maybe someday a profession. I am a recovering alcoholic and have been sober 9 months. I also volunteer as an advocate for neglected and abused children. The kids I work with have been removed from their home due to abuse or neglect at the hand of their primary or secondary care giver. Empathy is important to me and it helps me become a better individual. I hope to work for a few years and then go to law school. Public speaking is a passion of mine even though I am slightly on the introverted side of the personality spectrum. I am only 5'6"" so my love of public speaking may come from suffering a bit of ""small man syndrome"". Right now my only goal is to be able to make an impact in other's lives, and to do so in a way that I don't suffer too much myself.",64.8,8.6,8,11,195,22,11.28,,,,,,2.091,249.553,389.916,6,"I am a young male who is about to enter the professional world. I am a highly motivated individual who enjoys work that can be judged by its accuracy and efficiency. I am liberal socially but I do enjoy working with firearms as a hobby and maybe someday a profession. I am a recovering alcoholic and have been sober 9 months. I also volunteer as an advocate for neglected and abused children. The kids I work with have been removed from their home due to abuse or neglect at the hand of their primary or secondary care giver. Empathy is important to me and it helps me become a better individual. I hope to work for a few years and then go to law school. Public speaking is a passion of mine even though I am slightly on the introverted side of the personality spectrum. I am only 5'6"" so my love of public speaking may come from suffering a bit of ""small man syndrome"". Right now my only goal is to be able to make an impact in other's lives, and to do so in a way that I don't suffer too much myself.",Male,24,White,"Bachelorâ€™s degree (e.g. BA, BS)",Yes,,Very frequently,Very frequently,Rarely,4 - 6 hours,1 - 3 hours,0 hours,"Smart phone,Tablet,Laptop or computer,Books","Social media posts,Other (please specify)",Other (please specify),"Memos, briefs, and courtroom reports",Other (please specify),Briefs are the most satisfying to write as they can make a large issue into a smaller manageable problem.,I honestly don't know.,24373
522,picture,PWEW,TRUE,Yes,,,7.533,310.949,322.392,"The scene is dreamlike and a little eerie. The time of day is a bit indeterminate aside from the fact that the sun is out, the light a bit sickly, apparently struggling to penetrate a fog or smoke, rendering the building at the end of the street little more than a phantom, like a double exposure, one object real and the other an illusion, a representation of an object. The dark profile of a lone figure, perhaps a woman, bundled up against the cold, moves along the crosswalk, nearly dead center of the image. She appears to be alone, as if wandering through a secret or parallel world where she is the only person who exists. A few cars line either side of the street, farther away. One wonders if anyone sits inside, watching the woman cross the street.",62.2,10.3,9.7,6,139,10,7.19,7.533,310.949,322.392,9,"The scene is dreamlike and a little eerie. The time of day is a bit indeterminate aside from the fact that the sun is out, the light a bit sickly, apparently struggling to penetrate a fog or smoke, rendering the building at the end of the street little more than a phantom, like a double exposure, one object real and the other an illusion, a representation of an object. The dark profile of a lone figure, perhaps a woman, bundled up against the cold, moves along the crosswalk, nearly dead center of the image. She appears to be alone, as if wandering through a secret or parallel world where she is the only person who exists. A few cars line either side of the street, farther away. One wonders if anyone sits inside, watching the woman cross the street.",,,,,,Female,39,Other,"Some college, no degree",Yes,,Never,Never,Occasionally,0 hours,0 hours,1 - 3 hours,Laptop or computer,"Social media posts,Blogs,Fiction books,Other (please specify)",Fiction books,,Blogs,,?,33349
400,self,PWEW,FALSE,No,,,0.637,294.074,343.964,"i a very open and easy person to talk too. i like to discuss issues with my kids and and students. I like to get involved in things like video games, stratagem games and things to do that makes me think about what i like to do.  I also have a innate talent to deal with technology and other things that involved. I also I like to solve riddles and solve things that make us think in the world. I have a good ability to make the higher level thoughts and ideas to make sure that i get my way. I am also an asia american who has been in america for over 33 years. I love it here and have been there all my life so that i I am immurse the american culture ",77.5,6.6,6.3,8,135,6,4.44,,,,,,0.637,294.074,343.964,14,"i a very open and easy person to talk too. i like to discuss issues with my kids and and students. I like to get involved in things like video games, stratagem games and things to do that makes me think about what i like to do.  I also have a innate talent to deal with technology and other things that involved. I also I like to solve riddles and solve things that make us think in the world. I have a good ability to make the higher level thoughts and ideas to make sure that i get my way. I am also an asia american who has been in america for over 33 years. I love it here and have been there all my life so that i I am immurse the american culture ",Male,34,Asian,"Bachelorâ€™s degree (e.g. BA, BS)",Yes,,Rarely,Frequently,Rarely,4 - 6 hours,4 - 6 hours,4 - 6 hours,"Tablet,Laptop or computer","Social media posts,Textbooks",Social media posts,,Social media posts,,writting,91139
688,picture,PWEW,TRUE,Yes,,,507.287,579.786,645.134,"This is an image of a street with old buildings flanking either side.  There is a lone person crossing a crosswalk in the middle of the road.  There is no one else visible in the street and it is shrouded in mist.  It has a mystical and somewhat maudlin effect.  kI would think there would be some other signs of life in the image but there are none, leading the viewer to feel slightly sad or as if something is wrong in the picture.  The mist in the background gives a surreal effeect as though maybe something else is going on, maybe it is early morning fog, maybe is is just bad lighting, or maybe it is bad smog in the area making the air difficult to breathe.  It's hard to tell exactly what it is.  There are cars on either side of the street but no occupants or drivers are visible.  Maybe they are inside the buildings?  It's hard to say where they are or why they have abandoned their cars.  Overall the street seems very lonely and the person seems sad who is walking.",79.1,6.4,8.5,11,186,11,5.91,507.287,579.786,645.134,2,"This is an image of a street with old buildings flanking either side.  There is a lone person crossing a crosswalk in the middle of the road.  There is no one else visible in the street and it is shrouded in mist.  It has a mystical and somewhat maudlin effect.  kI would think there would be some other signs of life in the image but there are none, leading the viewer to feel slightly sad or as if something is wrong in the picture.  The mist in the background gives a surreal effeect as though maybe something else is going on, maybe it is early morning fog, maybe is is just bad lighting, or maybe it is bad smog in the area making the air difficult to breathe.  It's hard to tell exactly what it is.  There are cars on either side of the street but no occupants or drivers are visible.  Maybe they are inside the buildings?  It's hard to say where they are or why they have abandoned their cars.  Overall the street seems very lonely and the person seems sad who is walking.",,,,,,Female,37,White,"Masterâ€™s degree (e.g. MA,MS, MEd)",Yes,,Never,Rarely,Rarely,0 hours,0 hours,0 hours,Laptop or computer,Fiction books,Fiction books,,Fiction books,,no idea,77560
357,picture,WRITER,TRUE,,Yes,,8.721,155.22,204.291,"The street is somehow dark, yet light at the same time.  It is like it is night, but some very powerful light source is illuminating the entire area.  There is no movement of traffic at all on the road, another indication that it is night, not daytime.  The lone visible figure on the road appears to be a woman, dressed in layers of clothes and a jacket, suggesting it is a cold night.  She is crossing the road at the crosswalk, even though there are no cars, and she could really cross at any location.  The light almost makes me think of something catastrophic, like a flash of an atom bomb going off, that is about to reduce the entire scene to rubble.",69.1,8.7,8.8,6,123,11,8.94,8.721,155.22,204.291,6,"The street is somehow dark, yet light at the same time.  It is like it is night, but some very powerful light source is illuminating the entire area.  There is no movement of traffic at all on the road, another indication that it is night, not daytime.  The lone visible figure on the road appears to be a woman, dressed in layers of clothes and a jacket, suggesting it is a cold night.  She is crossing the road at the crosswalk, even though there are no cars, and she could really cross at any location.  The light almost makes me think of something catastrophic, like a flash of an atom bomb going off, that is about to reduce the entire scene to rubble.",,,,,,Male,37,White,"Some college, no degree",Yes,,Never,Occasionally,Occasionally,0 hours,1 - 3 hours,1 - 3 hours,Laptop or computer,Other (please specify),Other (please specify),poetry,Fiction books,,not sure,55546
478,self,PWEW,TRUE,Yes,,,1.095,152.735,215.864,"I am an outgoing person that has a liberal mind. I like to work hard and to complete the goals and deadlines that we must complete. I like to keep on learning and also gain new experiences and people. I like to learn about different cultures and to explore around. I also like adventure and exitement. I like to drink beer and a good wine as well as Italian food. I consider myself a great person with many virtues and qualilties. I have many talents and skills but consider that I have a lot to learn still. I have a lot to discover yet. I also love to travel, I think that travelling is really exiting and it gives me a lot of joy. I like to spend time with my family and also with my friends and I also love the movies. I consider myself good with computers and also good with math.",76.2,5.8,7.9,12,154,16,10.39,,,,,,1.095,152.735,215.864,4,"I am an outgoing person that has a liberal mind. I like to work hard and to complete the goals and deadlines that we must complete. I like to keep on learning and also gain new experiences and people. I like to learn about different cultures and to explore around. I also like adventure and exitement. I like to drink beer and a good wine as well as Italian food. I consider myself a great person with many virtues and qualilties. I have many talents and skills but consider that I have a lot to learn still. I have a lot to discover yet. I also love to travel, I think that travelling is really exiting and it gives me a lot of joy. I like to spend time with my family and also with my friends and I also love the movies. I consider myself good with computers and also good with math.",Female,27,White,"Bachelorâ€™s degree (e.g. BA, BS)",Yes,,Occasionally,Frequently,Frequently,4 - 6 hours,1 - 3 hours,1 - 3 hours,Laptop or computer,Non-fiction books,Non-fiction books,,Non-fiction books,,no guess,43632
564,self,WRITER,FALSE,,No,,0.849,411.35,418.453,"Thinking about my personality I can say I am very soft spoken but very friendly person. and I am outgoing, love to travel. one another think i love to do is gardening, many people told me i have a nice garden. thinking about other personalities I can say I love to meet new people and get to know them. I can become friends with someone I meet within few minutes even though I am soft spoken. Another thing I like to do is cooking. I almost cook every day I think. I know its wired but I love to look for the new recipes and make new foods. I love to bake, my favorite is baking cookies and yeah i also love to go shopping. I love malls because i can shop at different stores as much as i want.",77.2,6,7,10,140,9,6.43,,,,,,0.849,411.35,418.453,18,"Thinking about my personality I can say I am very soft spoken but very friendly person. and I am outgoing, love to travel. one another think i love to do is gardening, many people told me i have a nice garden. thinking about other personalities I can say I love to meet new people and get to know them. I can become friends with someone I meet within few minutes even though I am soft spoken. Another thing I like to do is cooking. I almost cook every day I think. I know its wired but I love to look for the new recipes and make new foods. I love to bake, my favorite is baking cookies and yeah i also love to go shopping. I love malls because i can shop at different stores as much as i want.",Male,34,Asian,"Associateâ€™s degree (e.g. AA, AS)",Yes,,Rarely,Never,Never,1 - 3 hours,0 hours,0 hours,Books,Textbooks,Textbooks,,Textbooks,,personal Interests,82865
581,self,WRITER,TRUE,,Yes,,13.63,235.99,237.438,"I am someone who values relationships more than most other things in life.  I think most people don't realize that our experiences which come from our relationships with others are the only experiences we leave this experience known as life take with us.  Everything else returns to dust.  I think that unlike many other people I have met, I place a lot more value upon forming life long relationships.  I think many people don't understand how relationships are composed of trust and respect, and therefore they consequently miss-out on life.  In other words, by not valuing the relationships they have in life, the alternative is they fail at Life 101.",60,9.5,12,6,111,14,12.61,,,,,,13.63,235.99,237.438,2,"I am someone who values relationships more than most other things in life.  I think most people don't realize that our experiences which come from our relationships with others are the only experiences we leave this experience known as life take with us.  Everything else returns to dust.  I think that unlike many other people I have met, I place a lot more value upon forming life long relationships.  I think many people don't understand how relationships are composed of trust and respect, and therefore they consequently miss-out on life.  In other words, by not valuing the relationships they have in life, the alternative is they fail at Life 101.",Male,56,White,"Some college, no degree",Yes,,Never,Occasionally,Frequently,0 hours,1 - 3 hours,7 or more hours,Laptop or computer,Other (please specify),Other (please specify),I just write about subjects which interest me.  Its a cheap form of therapy.,Other (please specify),subjects which interest me,I have no idea.,37221
525,picture,PWEW,TRUE,Yes,,,1.565,374.793,375.843,"This is a photograph Of a two-way with very tall buildings on each side on either side of the street there's space for parallel parking. Walking across the  Pedestrian crosswalk in the street seems to be a woman. The woman looks like she is wearing boots, a coat, and a long skirt. The time that this Photograph was taken is probably in the fall or winter and was taken probably in the very early morning hours or at sunset. The buildings have businesses at the first floor. There are residential dwellings in the upper levels some of them have balconies. It also looks a little bit foggy in the background.",71.1,7.3,10,7,111,9,8.11,1.565,374.793,375.843,98,"This is a photograph Of a two-way with very tall buildings on each side on either side of the street there's space for parallel parking. Walking across the  Pedestrian crosswalk in the street seems to be a woman. The woman looks like she is wearing boots, a coat, and a long skirt. The time that this Photograph was taken is probably in the fall or winter and was taken probably in the very early morning hours or at sunset. The buildings have businesses at the first floor. There are residential dwellings in the upper levels some of them have balconies. It also looks a little bit foggy in the background.",,,,,,Female,30,Hispanic / Latino,"Associateâ€™s degree (e.g. AA, AS)",Yes,,Never,Occasionally,Occasionally,0 hours,1 - 3 hours,1 - 3 hours,"Smart phone,Laptop or computer",Social media posts,Social media posts,,Social media posts,,To see how much people write these days and what they write about.,29564
340,picture,PWEW,TRUE,Yes,,,3.274,243.534,247.515,"It is a city street. There appears to be early morning sunlight. The sun obscures the buildings in the back. There is a person crossing the street at a crosswalk. There are parked cars on either side of the street. It appears to be a European city. There are balconies on some of the buildings. There are shadows all over the image cause by the things casting them. These include the buildings, cars, and the people. The image is overexposed a little bit due to sunlight facing the camera. The person walking is obscured but probably has dark clothing on. Some of the buildings have beige or orange paint on them and some off whitish thing. One of the cars is not a car but a kind of work truck or something. ",84.4,4,9.2,13,132,6,4.55,3.274,243.534,247.515,5,"It is a city street. There appears to be early morning sunlight. The sun obscures the buildings in the back. There is a person crossing the street at a crosswalk. There are parked cars on either side of the street. It appears to be a European city. There are balconies on some of the buildings. There are shadows all over the image cause by the things casting them. These include the buildings, cars, and the people. The image is overexposed a little bit due to sunlight facing the camera. The person walking is obscured but probably has dark clothing on. Some of the buildings have beige or orange paint on them and some off whitish thing. One of the cars is not a car but a kind of work truck or something. ",,,,,,Male,33,White,"Bachelorâ€™s degree (e.g. BA, BS)",Yes,,Never,Frequently,Rarely,0 hours,4 - 6 hours,1 - 3 hours,Laptop or computer,Social media posts,Social media posts,,Social media posts,,don't know,80476
406,self,PWEW,TRUE,Yes,,,139.851,220.935,258.44,"I am the parent of an awesome ginger who is special needs. I dedicate my time to raising him while working as well. I am a trans man who began my transition about 10 years ago, but medically just one year ago. I am post op. I like writing and socializing. I am a natural extrovert. I have a way of being able to win everyone over, no matter who they are or what they think of who I am. They just love me anyways. I work as an independent contractor, and I do mainly data entry which is great because it fits with the schedule that I need to take care of my child and accommodate it around his appointments.",73.6,6.3,7.2,9,121,13,10.74,,,,,,139.851,220.935,258.44,8,"I am the parent of an awesome ginger who is special needs. I dedicate my time to raising him while working as well. I am a trans man who began my transition about 10 years ago, but medically just one year ago. I am post op. I like writing and socializing. I am a natural extrovert. I have a way of being able to win everyone over, no matter who they are or what they think of who I am. They just love me anyways. I work as an independent contractor, and I do mainly data entry which is great because it fits with the schedule that I need to take care of my child and accommodate it around his appointments.",Male,27,White,"Some college, no degree",Yes,,Occasionally,Occasionally,Never,1 - 3 hours,1 - 3 hours,0 hours,"Smart phone,Laptop or computer",Social media posts,Social media posts,,Social media posts,,To see how we like to write ,1519
